animal,geno,sex,dob,strain
2978,wt,m,2014-07-14,5x
2979,tg,m,2014-07-14,5x
2987,tg,m,2014-07-14,5x
2988,wt,m,2014-07-14,5x
2989,wt,m,2014-07-14,5x
2990,tg,m,2014-07-14,5x
2991,wt,m,2014-07-14,5x
2997,tg,m,2014-07-14,5x
3001,wt,m,2014-07-14,5x
3011,tg,m,2014-07-14,5x
3069,tg,f,2014-10-01,3x
3079,tg,m,2014-09-27,3x
3083,tg,f,2014-09-30,3x
3086,tg,f,2014-09-30,3x
3087,tg,m,2014-09-30,3x
3088,tg,m,2014-09-30,3x
3098,wt,m,2014-10-01,3x
3102,wt,f,2014-10-01,3x
3103,wt,f,2014-10-01,3x
3115,wt,m,2014-09-28,3x
3116,wt,m,2014-09-28,3x
3197,wt,f,2015-03-29,5x
3199,tg,f,2015-03-29,5x
3207,tg,f,2015-03-29,5x
3209,wt,f,2015-03-29,5x
3215,wt,f,2015-03-29,5x
3216,tg,f,2015-03-29,5x
3227,tg,f,2015-03-29,5x
3286,wt,f,2015-05-21,5x
3288,wt,f,2015-05-21,5x
3289,wt,f,2015-05-21,5x
3290,wt,f,2015-05-21,5x
3291,tg,f,2015-05-21,5x
3295,tg,f,2015-05-21,5x
3297,tg,f,2015-05-21,5x
3307,tg,f,2015-05-21,5x
3317,wt,f,2015-05-21,5x
3319,tg,f,2015-05-21,5x
